,APPID,Name,Current,24h,Total
+,6310,The Longest Journey,3,15,362
+,6340,Age of Conan - Hyborian Adventures,1,1,65
+,6370,Bloodline Champions,2,4,"1,667"
+,6400,Joint Task Force,5,7,19
+,6420,Nexus: The Jupiter Incident,2,11,206
+,6510,Lost Planet: Extreme Condition,4,8,623
+,6550,Devil May Cry 3: Special Edition,17,42,145
+,6800,Commandos: Behind Enemy Lines,32,68,246
+,6810,Commandos: Beyond the Call of Duty,9,26,57
+,6830,Commandos 2: Men of Courage,18,48,135
+,6840,Commandos 3: Destination Berlin,4,16,54
+,6850,Hitman 2: Silent Assassin,9,17,530
+,6860,Hitman: Blood Money,44,77,"1,138"
+,6870,Battlestations: Midway,5,18,175
+,6880,Just Cause,25,43,309
+,6900,Hitman: Codename 47,4,12,236
+,6910,Deus Ex: Game of the Year Edition,78,109,"1,102"
+,6920,Deus Ex: Invisible War,9,23,60
+,6950,Hitman: Blood Money Demo,1,1,29
+,6980,Thief: Deadly Shadows,9,29,663
+,7000,Tomb Raider: Legend,22,60,287
+,7020,Rogue Trooper,3,3,59
+,7110,Jade Empire: Special Edition,12,23,842
+,7200,TrackMania United,41,101,"1,345"
+,7210,Runaway: A Road Adventure,1,6,140
+,7260,Loki,4,9,48
+,7440,Big Kahuna Reef,1,2,5
+,7500,UFO: Afterlight - Old Version,1,1,64
+,7510,X-Blades,56,223,"4,059"
+,7520,Two Worlds II,125,168,"4,812"
+,7530,Two Worlds II Castle Defense,92,632,"9,821"
+,7600,Sid Meier's Railroads!,81,127,"1,008"
+,7610,Railroad Tycoon 3,49,74,180
+,7620,Railroad Tycoon 2: Platinum,78,116,208
+,7650,X-COM: Terror from the Deep,6,18,126
+,7660,X-COM: Apocalypse,11,20,111
+,7670,BioShock,69,116,"2,674"
+,7760,X-COM: UFO Defense,41,52,653
+,7770,X-COM: Enforcer,3,4,28
+,7780,MLB® Front Office Manager,1,3,100
+,7830,Men of War,22,55,664
+,7840,Death Track: Resurrection,1,2,12
+,7860,NecroVisioN,1,7,222
+,7880,1701 A.D.: Sunken Dragon,1,2,124
+,7940,Call of Duty 4: Modern Warfare,139,218,"1,796"
+,8000,Tomb Raider: Anniversary,42,84,461
+,8040,Championship Manager 2007,5,15,26
+,8060,Championship Manager 2008,7,22,47
+,8080,Kane & Lynch: Dead Men,8,22,142
+,8100,Conflict: Denied Ops,2,7,24
+,8140,Tomb Raider: Underworld,26,67,415
+,8170,Battlestations: Pacific,19,50,380
+,8190,Just Cause 2,268,635,"7,547"
+,8200,Sam & Max 101: Culture Shock,2,4,162
+,8230,Sam & Max 104: Abe Lincoln Must Die!,1,3,136
+,8270,Sam & Max 202: Moai Better Blues,1,2,17
+,8280,Sam & Max 203: Night of the Raving Dead,1,2,14
+,8290,Sam & Max 204: Chariots of the Dogs,1,1,13
+,8340,Strong Bad Episode 1: Homestar Ruiner,3,3,52
+,8350,Strong Bad Episode 2: Strong Badia the Free,1,1,18
+,8400,Geometry Wars: Retro Evolved,7,7,75
+,8500,EVE Online,"2,527","3,397","6,703"
+,8600,RACE 07,9,49,"1,199"
+,8610,RACE 07 Dedicated Server,2,4,5
+,8650,RACE 07: Andy Priaulx Crowne Plaza Raceway,1,1,199
+,8800,Sid Meier's Civilization IV: Beyond the Sword,"1,101","1,431","2,475"
+,8850,BioShock 2,54,75,"4,635"
+,8870,BioShock Infinite,469,724,"65,332"
+,8890,Freedom Force vs. the 3rd Reich,2,4,89
+,8930,Sid Meier's Civilization V,"22,198","28,194","91,363"
+,8980,Borderlands,766,"1,001","23,655"
+,9000,Wolfenstein 3D: Spear of Destiny,2,7,15
+,9010,Return to Castle Wolfenstein,18,55,579
+,9030,Quake Mission Pack 2: Dissolution of Eternity,1,4,11
+,9040,Quake Mission Pack 1: Scourge of Armagon,1,4,14
+,9050,DOOM 3,21,33,560
+,9060,HeXen II,1,4,45
+,9070,DOOM 3: Resurrection of Evil,1,8,39
+,9080,Quake III Arena Demo,2,4,18
+,9160,Master Levels for DOOM II,3,7,16
+,9180,Commander Keen Complete Pack,2,8,89
+,9200,RAGE,74,168,"18,059"
+,9310,"Warhammer 40,000: Dawn of War - Winter Assault",45,84,704
+,9340,Company of Heroes: Opposing Fronts,29,46,"1,426"
+,9350,Supreme Commander,71,140,578
+,9420,Supreme Commander: Forged Alliance,399,695,"1,233"
+,9450,"Warhammer 40,000: Dawn of War - Soulstorm",658,"1,109","3,283"
+,9460,Frontlines: Fuel of War,4,6,"1,271"
+,9480,Saints Row 2,72,105,"6,509"
+,9710,Desperados 2: Cooper’s Revenge,1,9,21
+,9760,Act of War: High Treason,6,18,32
+,9800,Death to Spies,2,4,115
+,9850,Codename: Panzers - Cold War,2,9,102
+,9860,The Chronicles of Riddick: Assault on Dark Athena,1,2,149
+,9870,Ghostbusters: The Video Game,5,8,503
+,9880,Champions Online,192,199,"9,794"
+,9900,Star Trek Online,"1,697","1,937","7,910"
+,9930,Test Drive Unlimited 2,22,55,"2,903"
+,10090,Call of Duty: World at War,738,762,"4,825"
+,10100,King's Quest Collection,9,13,107
+,10110,Space Quest Collection,3,6,95
+,10140,3D Ultra Minigolf Adventures Deluxe,1,3,16
+,10150,Prototype,31,57,"1,570"
+,10170,Wolfenstein,3,4,771
+,10180,Call of Duty: Modern Warfare 2,351,689,"22,614"
+,10190,Call of Duty: Modern Warfare 2 - Multiplayer,626,"1,534","112,874"
+,10220,Postal 3,1,7,49
+,10270,Disciples III: Reincarnation,19,75,497
+,10500,Total War: EMPIRE - Definitive Edition,"2,078","3,456","27,559"
+,10540,Football Manager 2009,38,169,"24,738"
+,10560,Worldwide Soccer Manager 2009,1,2,500
+,10620,Empire: Total War Demo,2,7,"1,970"
+,10680,Aliens vs. Predator,57,92,"3,794"
+,11020,TrackMania Nations Forever,101,346,"1,375"
+,11040,Sherlock Holmes: Nemesis,4,10,38
+,11050,Dracula: Origin,1,7,42
+,11060,Pro Cycling Manager Season 2008,1,1,23
+,11130,Sherlock Holmes: The Mystery of The Mummy,1,3,30
+,11140,Sherlock Holmes: The Awakened - Remastered,2,6,85
+,11150,Sherlock Holmes: The Secret of the Silver Earring,2,10,32
+,11180,Sherlock Holmes: The Mystery of The Persian Carpet,4,7,19
+,11190,Sherlock Holmes versus Jack the Ripper,6,15,86
+,11240,Space Trader: Merchant Marine,1,2,67
+,11250,Pacific Storm,1,1,66
+,11260,Pacific Storm: Allies,6,8,136
+,11330,Obulis,1,4,37
+,11340,Larva Mortus,1,2,40
+,11390,Crash Time II,3,8,579
+,11420,Clive Barker's Jericho,1,3,108
+,11450,Overlord,27,54,"2,303"
+,11480,Soldiers: Heroes of World War II,4,14,96
+,11590,Hospital Tycoon,2,5,356
+,11610,Dragon Nest,66,78,"1,786"
+,11900,Lumines,2,2,8
+,11920,Lumines: Advanced Pack,1,2,5
+,12100,Grand Theft Auto III,59,104,640
+,12110,Grand Theft Auto: Vice City,140,284,814
+,12120,Grand Theft Auto: San Andreas,527,"1,206","2,320"
+,12130,Manhunt,1,9,83
+,12140,Max Payne,21,43,727
+,12150,Max Payne 2: The Fall of Max Payne,17,40,189
+,12170,Grand Theft Auto,2,4,123
+,12180,Grand Theft Auto 2,1,2,73
+,12200,Bully: Scholarship Edition,86,125,"2,010"
+,12210,Grand Theft Auto IV,508,"1,035","11,696"
+,12220,Grand Theft Auto: Episodes from Liberty City,89,198,"3,013"
+,12240,Grand Theft Auto: Vice City,8,10,63
+,12250,Grand Theft Auto: San Andreas,11,32,105
+,12320,Sacred Gold,22,67,148
+,12330,DarkStar One,1,7,78
